locus_tag,gene,product,start,end,strand
SPN23F_RS02010,,acyl carrier protein,380385,380609,+
SPN23F_RS02015,fabK,enoyl-[acyl-carrier-protein] reductase FabK,380728,381702,+
SPN23F_RS02020,fabD,ACP S-malonyltransferase,381695,382615,+
SPN23F_RS02025,fabG,3-oxoacyl-[acyl-carrier-protein] reductase,382649,383380,+
SPN23F_RS02030,fabF,beta-ketoacyl-ACP synthase II,383402,384637,+
SPN23F_RS02035,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,384640,385125,+
SPN23F_RS02040,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,385122,385544,+
SPN23F_RS02045,accC,acetyl-CoA carboxylase biotin carboxylase subunit,385556,386923,+
SPN23F_RS02050,accD,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,386960,387826,+
SPN23F_RS02055,,acetyl-CoA carboxylase carboxyl transferase subunit alpha,387823,388590,+
SPN23F_RS02060,briC,biofilm-regulating peptide BriC,388853,389038,+
SPN23F_RS14155,,lysostaphin resistance A-like protein,389056,389778,+
SPN23F_RS02075,nusB,transcription antitermination factor NusB,389825,390247,-
SPN23F_RS02080,,Asp23/Gls24 family envelope stress response protein,390240,390629,-
SPN23F_RS02085,efp,elongation factor P,390651,391211,-
SPN23F_RS02090,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,391340,392782,-
SPN23F_RS02095,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,392782,394248,-
SPN23F_RS02100,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,394248,394550,-
SPN23F_RS02105,,peptide chain release factor 3,394763,396307,+
SPN23F_RS02110,,glycosyltransferase family 8 protein,396576,397058,+
SPN23F_RS02115,rpmB,50S ribosomal protein L28,397177,397365,+
SPN23F_RS02120,,Asp23/Gls24 family envelope stress response protein,397522,397887,+
SPN23F_RS02125,,DAK2 domain-containing protein,397890,399557,+
SPN23F_RS02130,,acetolactate synthase large subunit,399757,401457,+
SPN23F_RS02135,ilvN,acetolactate synthase small subunit,401450,401926,+
SPN23F_RS02140,ilvC,ketol-acid reductoisomerase,401992,403014,+
SPN23F_RS02145,,hypothetical protein,403121,403357,+
SPN23F_RS02150,,hypothetical protein,403595,403951,+
SPN23F_RS02155,ilvA,threonine ammonia-lyase IlvA,404001,405251,+
SPN23F_RS02160,,capsule biosynthesis transcriptional regulator,406122,406337,+
SPN23F_RS02165,,amino acid ABC transporter ATP-binding protein,406446,407186,-
SPN23F_RS02170,,ABC transporter substrate-binding protein/permease,407186,408751,-
SPN23F_RS02175,,DUF2207 domain-containing protein,408889,410778,+
SPN23F_RS02185,,IS110 family transposase,410977,411948,-
SPN23F_RS02190,,undecaprenyl-diphosphate phosphatase,412203,413048,+
SPN23F_RS02195,dinB,DNA polymerase IV,413195,414256,-
SPN23F_RS02200,pflB,formate C-acetyltransferase,414604,416928,+
SPN23F_RS02205,,hypothetical protein,417295,417513,-
SPN23F_RS02215,,hypothetical protein,417840,418124,-
SPN23F_RS13770,,PTS alpha-glucoside transporter subunit IIB,419501,419923,+
SPN23F_RS02240,,TrkH family potassium uptake protein,420048,421487,-
SPN23F_RS02245,trkA,Trk system potassium transporter TrkA,421491,422840,-
SPN23F_RS02250,,SAM hydrolase/SAM-dependent halogenase family protein,423028,423876,+
SPN23F_RS02255,,ECF-type riboflavin transporter substrate-binding protein,423891,424439,+
SPN23F_RS13225,,hypothetical protein,424446,424703,+
SPN23F_RS02265,,ABC transporter ATP-binding protein,424805,426487,+
SPN23F_RS02270,,energy-coupling factor transporter transmembrane component T family protein,426472,427302,+
SPN23F_RS02275,,tRNA (cytidine(34)-2'-O)-methyltransferase,427495,427998,+
SPN23F_RS02280,,ECF transporter S component,428451,429014,+
SPN23F_RS02285,,phosphatase PAP2 family protein,429004,429654,+
SPN23F_RS02290,,hypothetical protein,429682,430071,+
SPN23F_RS02295,,GNAT family N-acetyltransferase,430076,430525,+
SPN23F_RS02300,rpoE,DNA-directed RNA polymerase subunit delta,430653,431240,+
SPN23F_RS14075,,hypothetical protein,431376,431501,+
SPN23F_RS02305,,CTP synthase,431630,433237,+
SPN23F_RS02310,,Na/Pi cotransporter family protein,433796,435427,-
SPN23F_RS02315,,endo-beta-N-acetylglucosaminidase,435720,440630,+
SPN23F_RS02320,,phosphoglycerate kinase,440720,441916,+
SPN23F_RS02325,,FUSC family protein,442052,442579,+
SPN23F_RS02330,glnR,transcriptional repressor GlnR,442656,443012,+
SPN23F_RS02335,glnA,type I glutamate--ammonia ligase,443049,444395,+
SPN23F_RS11955,,hypothetical protein,444491,444610,-
SPN23F_RS13775,,hypothetical protein,444575,444724,+
SPN23F_RS02345,,restriction endonuclease subunit S,445098,446471,+
SPN23F_RS02350,,restriction endonuclease subunit S,446419,447027,-
SPN23F_RS02355,psrA,tyrosine-type DNA invertase PsrA,447038,447835,-
SPN23F_RS02360,,restriction endonuclease subunit S,447892,449442,-
SPN23F_RS02365,,class I SAM-dependent DNA methyltransferase,449442,450905,-
SPN23F_RS02370,hsdR,EcoAI/FtnUII family type I restriction enzme subunit R,450918,453251,-
SPN23F_RS02380,,DUF2812 domain-containing protein,453859,454368,+
SPN23F_RS02385,hrcA,heat-inducible transcriptional repressor HrcA,454532,455566,+
SPN23F_RS02390,grpE,nucleotide exchange factor GrpE,455593,456117,+
SPN23F_RS02395,dnaK,molecular chaperone DnaK,456597,458420,+
SPN23F_RS02400,,hypothetical protein,458422,458778,+
SPN23F_RS02405,dnaJ,molecular chaperone DnaJ,459180,460316,+
SPN23F_RS13365,,hypothetical protein,460628,460912,-
SPN23F_RS02415,,hypothetical protein,461074,461361,-
SPN23F_RS02420,,HIT family protein,461371,461781,-
SPN23F_RS02425,,ABC transporter ATP-binding protein,461849,462580,+
SPN23F_RS02430,,ABC transporter permease,462577,463626,+
SPN23F_RS02435,,hypothetical protein,463794,464123,-
SPN23F_RS02440,,LytTR family DNA-binding domain-containing protein,464399,464737,+
SPN23F_RS02445,,response regulator transcription factor,464742,465479,+
SPN23F_RS02450,,sensor histidine kinase,465493,466833,+
SPN23F_RS02455,blpC,quorum-sensing system pheromone BlpC,466904,467032,-
SPN23F_RS02460,blpB,peptide export ABC transport accessory protein BlpB,467089,468450,-
SPN23F_RS02465,,peptide cleavage/export ABC transporter,468461,470137,-
SPN23F_RS14160,,cysteine peptidase family C39 domain-containing protein,470031,470618,-
SPN23F_RS02475,blpI,bacteriocin-like peptide BlpI,470900,471097,+
SPN23F_RS14290,,Gip family bacteriocin immunity protein,471102,471263,+
SPN23F_RS02480,blpJ,bacteriocin-like peptide BlpJ,471564,471833,+
SPN23F_RS02485,blpK,bacteriocin-like peptide BlpK,471902,472150,+
SPN23F_RS02490,blpO,bacteriocin-like peptide BlpO,472394,472543,+
SPN23F_RS14245,,ComC/BlpC family peptide pheromone/bacteriocin,472579,472644,+
SPN23F_RS02495,,PncF family bacteriocin immunity protein,472647,472766,+
SPN23F_RS02510,,immunity protein,473247,473605,+
SPN23F_RS02520,,hypothetical protein,474234,474617,+
SPN23F_RS02525,,CPBP family intramembrane glutamic endopeptidase,474669,475358,+
SPN23F_RS02530,blpZ,immunity protein BlpZ,475400,475633,+
SPN23F_RS02535,,CPBP family intramembrane glutamic endopeptidase,475784,476395,+
SPN23F_RS02540,ccrZ,cell cycle regulator CcrZ,476556,477350,+
SPN23F_RS02545,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,477347,477982,+
SPN23F_RS02550,rimP,ribosome maturation factor RimP,478108,478587,+
SPN23F_RS02555,nusA,transcription termination factor NusA,478631,479767,+
SPN23F_RS02560,rnpM,RNase P modulator RnpM,479789,480082,+
SPN23F_RS02565,,YlxQ-related RNA-binding protein,480075,480374,+
SPN23F_RS02570,infB,translation initiation factor IF-2,480391,483183,+
SPN23F_RS02575,rbfA,30S ribosome-binding factor RbfA,483434,483784,+
SPN23F_RS02580,,hypothetical protein,484063,484842,+
SPN23F_RS02585,,hypothetical protein,484844,485026,+
SPN23F_RS13780,,hypothetical protein,485304,485546,-
SPN23F_RS02590,,DUF1858 domain-containing protein,485577,485810,+
SPN23F_RS02595,,DUF438 domain-containing protein,485810,487144,+
SPN23F_RS02600,,DUF1912 family protein,487154,487408,+
SPN23F_RS02605,,helix-hairpin-helix domain-containing protein,487504,487899,+
SPN23F_RS02610,,flavin reductase,488312,488761,+
SPN23F_RS02615,,GNAT family N-acetyltransferase,488748,489305,+
SPN23F_RS02620,,hypothetical protein,489307,490269,+
SPN23F_RS02625,,valine--tRNA ligase,490281,492932,+
SPN23F_RS02630,,protein NO VEIN domain-containing protein,493002,493757,+
SPN23F_RS02635,,Fic/DOC family protein,494038,494841,+
SPN23F_RS12005,,transposase,494956,496115,-
SPN23F_RS02660,,TOTE conflict system archaeo-eukaryotic primase domain-containing protein,496704,499262,+
SPN23F_RS02665,licT,BglG family transcription antiterminator LicT,499562,500401,+
SPN23F_RS02670,,beta-glucoside-specific PTS transporter subunit IIABC,500419,502257,+
SPN23F_RS02675,,glycoside hydrolase family 1 protein,502270,503685,+
SPN23F_RS02680,pheS,phenylalanine--tRNA ligase subunit alpha,504277,505323,+
SPN23F_RS02685,,GNAT family N-acetyltransferase,505323,505832,+
SPN23F_RS02690,pheT,phenylalanine--tRNA ligase subunit beta,505909,508311,+
SPN23F_RS02695,,endonuclease/exonuclease/phosphatase family protein,508379,509380,-
SPN23F_RS02700,,IS30 family transposase,509536,509982,+
SPN23F_RS02705,,helix-turn-helix domain-containing protein,510108,510374,+
SPN23F_RS02710,metE,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,510635,512884,+
SPN23F_RS02715,metF,methylenetetrahydrofolate reductase [NAD(P)H],512948,513814,+
SPN23F_RS02720,pnp,polyribonucleotide nucleotidyltransferase,514499,516712,+
SPN23F_RS02725,cysE,serine O-acetyltransferase,516728,517345,+
SPN23F_RS02730,,GNAT family N-acetyltransferase,517357,518241,+
SPN23F_RS02735,cysS,cysteine--tRNA ligase,518328,519671,+
SPN23F_RS02740,,Mini-ribonuclease 3,519664,520050,+
SPN23F_RS02745,,helix-turn-helix domain-containing protein,520054,520938,+
SPN23F_RS02750,,ISL3-like element IS1167A family transposase,520985,522241,-
SPN23F_RS02755,,hypothetical protein,522604,523203,+
SPN23F_RS13235,,group II intron maturase-specific domain-containing protein,523346,523516,+
SPN23F_RS02765,,ABC transporter permease,523873,525150,+
SPN23F_RS02770,vex2,ABC transporter ATP-binding subunit Vex2,525163,525810,+
SPN23F_RS02775,vex3,ABC transporter permease subunit Vex3,525862,527241,+
SPN23F_RS13785,pep27,putative autolysis signal peptide Pep27,527421,527504,+
SPN23F_RS02780,vncR,response regulator transcription factor VncR,527553,528209,+
SPN23F_RS02785,vncS,sensor histidine kinase VncS,528206,529534,+
SPN23F_RS02790,,class II fructose-bisphosphate aldolase,529675,530556,+
SPN23F_RS02795,,ferredoxin reductase family protein,530877,532067,-
SPN23F_RS02800,,amino acid ABC transporter permease,532362,533021,-
SPN23F_RS02805,,amino acid ABC transporter permease,533031,533708,-
SPN23F_RS02810,,transporter substrate-binding domain-containing protein,533721,534485,-
SPN23F_RS02815,,amino acid ABC transporter ATP-binding protein,534525,535283,-
SPN23F_RS02820,recJ,single-stranded-DNA-specific exonuclease RecJ,535560,537782,+
SPN23F_RS02825,,ribonuclease J,537957,539618,+
SPN23F_RS02830,,alpha/beta hydrolase,539687,540466,+
SPN23F_RS02835,murM,peptidoglycan bridge formation alanyltransferase MurM,540578,541798,+
SPN23F_RS02840,murN,peptidoglycan bridge formation alanyltransferase MurN,541803,543035,+
SPN23F_RS02845,,M57 family metalloprotease,543114,543815,+
SPN23F_RS02850,uvrC,excinuclease ABC subunit UvrC,543855,545702,+
SPN23F_RS02855,,metallophosphoesterase family protein,545692,546525,+
SPN23F_RS02860,,amino acid ABC transporter substrate-binding protein,546709,547509,-
SPN23F_RS02865,,nitroreductase family protein,547680,548285,+
SPN23F_RS02870,pepV,dipeptidase PepV,548298,549698,+
SPN23F_RS02875,,uracil-DNA glycosylase family protein,549752,550330,+
SPN23F_RS13790,,rhodanese-like domain-containing protein,550490,550777,+
SPN23F_RS02890,brnQ,branched-chain amino acid transport system II carrier protein,550948,552273,+
SPN23F_RS02895,,M42 family metallopeptidase,552371,553408,+
SPN23F_RS02900,,HIT family protein,553410,553871,+
SPN23F_RS02905,ldcB,LD-carboxypeptidase LdcB/DacB,553889,554605,+
SPN23F_RS02910,rplK,50S ribosomal protein L11,554728,555153,+
SPN23F_RS02915,rplA,50S ribosomal protein L1,555361,556050,+
SPN23F_RS13485,,hypothetical protein,556642,556788,-
SPN23F_RS13795,,protein-export chaperone SecB,556802,557164,+
SPN23F_RS14165,,hypothetical protein,557563,557808,+
SPN23F_RS02935,,ABC transporter ATP-binding protein,558209,559201,+
SPN23F_RS02940,,ABC transporter permease,559203,560021,+
SPN23F_RS02945,,ABC transporter permease,560023,560808,+
SPN23F_RS14170,,hypothetical protein,560906,561124,+
SPN23F_RS02950,,hypothetical protein,561109,561270,+
SPN23F_RS13800,,hypothetical protein,561582,561761,-
SPN23F_RS02965,,S8 family serine peptidase,561994,568428,+
SPN23F_RS02970,,PTS sugar transporter subunit IIA,569060,569536,+
SPN23F_RS02975,,PTS sugar transporter subunit IIB,569574,569879,+
SPN23F_RS02980,,PTS galactitol transporter subunit IIC,569927,571402,+
SPN23F_RS02985,bgaA,LPXTG-anchored adhesin/beta-galactosidase BgaA,571752,578453,+
SPN23F_RS14175,,transposase,578763,579140,-
SPN23F_RS13810,,transposase,579305,579550,-
SPN23F_RS03000,,DUF3397 domain-containing protein,579761,580120,-
SPN23F_RS12855,mnmL,tRNA modification radical SAM protein MnmL/YtqA,580212,581168,+
SPN23F_RS03015,mnmM,tRNA 5-(aminomethyl)-2-thiouridylate-methyltransferase MnmM,581152,581709,+
SPN23F_RS03020,,hypothetical protein,581702,581956,+
SPN23F_RS03025,,cation:proton antiporter,581968,584022,+
SPN23F_RS03030,,YihY/virulence factor BrkB family protein,584201,585061,+
SPN23F_RS03035,ccdA2,thiol-disulfide oxidoreductase-associated membrane protein CcdA2,585272,585982,+
SPN23F_RS03040,,redoxin family protein,586002,586568,+
SPN23F_RS03045,msrB,peptide-methionine (R)-S-oxide reductase MsrB,586579,587691,+
SPN23F_RS03050,,response regulator transcription factor,588049,588786,+
SPN23F_RS03055,,cache domain-containing sensor histidine kinase,588783,590474,+
SPN23F_RS03060,,TIGR01440 family protein,590590,591153,+
SPN23F_RS03065,,ZmpA/ZmpB/ZmpC family metallo-endopeptidase,591175,596844,+
SPN23F_RS03070,pabB,aminodeoxychorismate synthase component I,596905,598626,+
SPN23F_RS03075,,N-acetylmuramoyl-L-alanine amidase family protein,599157,600272,+
SPN23F_RS03080,,Ltp family lipoprotein,600359,601278,+
SPN23F_RS03085,,ROK family glucokinase,601413,602372,+
SPN23F_RS03090,,thymidylate synthase,602469,603308,+
SPN23F_RS03095,,DUF3042 family protein,603356,603526,-
SPN23F_RS03100,miaA,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,603647,604531,+
SPN23F_RS03105,hflX,GTPase HflX,604524,605762,+
SPN23F_RS03110,,cystathionine beta-lyase,605755,606378,+
SPN23F_RS03115,rnz,ribonuclease Z,606393,607322,+
SPN23F_RS03120,,SDR family NAD(P)-dependent oxidoreductase,607343,608098,+
SPN23F_RS03125,,LysR family transcriptional regulator,608152,609060,-
SPN23F_RS03130,,YqgQ family protein,609124,609393,+
SPN23F_RS03135,,rhodanese-like domain-containing protein,609393,609773,+
SPN23F_RS03140,,hypothetical protein,609862,610089,+
SPN23F_RS03145,,16S rRNA pseudouridine(516) synthase,610129,610854,-
SPN23F_RS03150,typA,translational GTPase TypA,611016,612857,+
SPN23F_RS03155,,DUF3165 family protein,612877,613131,+
SPN23F_RS03160,,lactococcin 972 family bacteriocin,613496,613795,+
SPN23F_RS03165,,bacteriocin-associated integral membrane family protein,613878,615899,+
SPN23F_RS03170,,ABC transporter ATP-binding protein,615901,616542,+
SPN23F_RS03175,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,616646,617998,+
SPN23F_RS03180,,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,618002,619060,+
SPN23F_RS03185,divIB,cell division protein DivIB,619070,620269,+
SPN23F_RS03190,pyrF,orotidine-5'-phosphate decarboxylase,620502,621203,+
SPN23F_RS03195,pyrE,orotate phosphoribosyltransferase,621237,621869,+
SPN23F_RS14080,,hypothetical protein,622330,622452,+
SPN23F_RS03205,,hypothetical protein,622548,623312,+
SPN23F_RS03210,,hypothetical protein,623312,624064,+
SPN23F_RS03215,,hypothetical protein,624074,624772,+
SPN23F_RS03220,,ABC transporter ATP-binding protein,624769,625416,+
SPN23F_RS03225,,cysteine ABC transporter substrate-binding protein,625496,626357,-
SPN23F_RS03235,,amino acid ABC transporter ATP-binding protein,626369,627127,-
SPN23F_RS03240,,amino acid ABC transporter permease,627128,627805,-
SPN23F_RS03245,,amino acid ABC transporter permease,627765,628433,-
SPN23F_RS03250,,lactate oxidase,628659,628793,+
SPN23F_RS03255,lysS,lysine--tRNA ligase,628933,630423,+
SPN23F_RS03260,lctO,L-lactate oxidase,631049,632185,+
SPN23F_RS03265,,TenA family protein,632742,633410,+
SPN23F_RS13820,,hypothetical protein,633407,633634,-
SPN23F_RS03275,thiM,hydroxyethylthiazole kinase,633736,634518,+
SPN23F_RS03280,thiE,thiamine phosphate synthase,634520,635149,+
SPN23F_RS03285,,ECF transporter S component,635708,636268,+
SPN23F_RS03290,,ATP-binding cassette domain-containing protein,636269,637654,+
SPN23F_RS03295,,energy-coupling factor transporter transmembrane component T,637656,638306,+
SPN23F_RS03300,tenA,thiaminase II,638317,639009,+
SPN23F_RS03305,thiW,energy coupling factor transporter S component ThiW,639014,639538,+
SPN23F_RS03310,thiM,hydroxyethylthiazole kinase,639538,640341,+
SPN23F_RS03315,thiE,thiamine phosphate synthase,640334,640966,+
SPN23F_RS03320,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,641176,641967,-
SPN23F_RS03325,,CopY/TcrY family copper transport repressor,642333,642728,+
SPN23F_RS03330,,cupredoxin domain-containing protein,642739,643110,+
SPN23F_RS03335,,heavy metal translocating P-type ATPase,643120,645363,+
SPN23F_RS03340,spxB,pyruvate oxidase,645570,647345,+
SPN23F_RS03345,,VOC family protein,647456,647803,+
SPN23F_RS12060,,IS630 family transposase,647920,648831,-
SPN23F_RS03365,,family 1 glycosylhydrolase,649217,649522,+
SPN23F_RS03370,manA,mannose-6-phosphate isomerase%2C class I,649654,650598,+
SPN23F_RS03375,,sodium-dependent transporter,650619,651886,-
SPN23F_RS14180,,hypothetical protein,651883,652104,-
SPN23F_RS03385,,MerR family transcriptional regulator,652187,652932,+
SPN23F_RS03390,,8-oxo-dGTP diphosphatase,652961,653416,-
SPN23F_RS03395,,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,653436,654611,-
SPN23F_RS03400,,DegV family protein,654670,655515,-
SPN23F_RS03405,,TetR/AcrR family transcriptional regulator,655640,656197,+
SPN23F_RS03410,,deoxycytidylate deaminase,656216,656683,+
SPN23F_RS03415,upp,uracil phosphoribosyltransferase,656772,657401,+
SPN23F_RS03420,clpP,ATP-dependent Clp protease proteolytic subunit ClpP,657575,658165,+
SPN23F_RS03425,,YlbG family protein,658244,658492,+
SPN23F_RS03430,,ABC transporter substrate-binding protein,658594,659754,+
SPN23F_RS03435,,branched-chain amino acid ABC transporter permease,660022,660891,+
SPN23F_RS03440,,branched-chain amino acid ABC transporter permease,660895,661851,+
SPN23F_RS03445,,ABC transporter ATP-binding protein,661851,662615,+
SPN23F_RS03450,,ABC transporter ATP-binding protein,662615,663325,+
SPN23F_RS03455,,CBS domain-containing protein,663633,664289,+
SPN23F_RS03460,prfB,peptide chain release factor 2,664397,664468,+
SPN23F_RS03460,prfB,peptide chain release factor 2,664470,665492,+
SPN23F_RS03465,ftsE,cell division ATP-binding protein FtsE,665510,666202,+
SPN23F_RS03470,ftsX,permease-like cell division protein FtsX,666195,667121,+
SPN23F_RS03475,,PTS transporter subunit IIBC,667407,669587,+
SPN23F_RS03480,,endonuclease/exonuclease/phosphatase family protein,669639,670454,+
SPN23F_RS03485,,DEAD/DEAH box helicase,670594,671937,+
SPN23F_RS03490,metK,methionine adenosyltransferase,672152,673342,+
SPN23F_RS03495,,dihydroorotate oxidase,673895,674830,+
SPN23F_RS03500,holA,DNA polymerase III subunit delta,674864,675901,+
SPN23F_RS03505,sodA,superoxide dismutase SodA,676042,676647,+
SPN23F_RS03510,,YutD family protein,676805,677335,+
SPN23F_RS03515,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,677356,678258,+
SPN23F_RS03520,,VanZ family protein,678258,678740,+
SPN23F_RS03525,,ABC-F family ATP-binding cassette domain-containing protein,678742,680283,+
SPN23F_RS03530,,ISL3-like element IS1167A family transposase,680338,681594,-
SPN23F_RS03535,,peptidylprolyl isomerase,681761,682564,-
SPN23F_RS03540,,hypothetical protein,682648,682869,-
SPN23F_RS03545,,hypothetical protein,683348,683557,-
SPN23F_RS03550,rpsP,30S ribosomal protein S16,683727,683999,+
SPN23F_RS03555,kphA,RNA-binding protein KphA,684019,684258,+
SPN23F_RS13825,,MazG nucleotide pyrophosphohydrolase domain-containing protein,684419,684730,+
SPN23F_RS03560,,alpha/beta hydrolase,684834,685583,+
SPN23F_RS03565,rimM,ribosome maturation factor RimM,685653,686171,+
SPN23F_RS03570,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,686161,686880,+
SPN23F_RS03575,,ATP cone domain-containing protein,686892,687230,+
SPN23F_RS03580,,hypothetical protein,687261,687581,-
SPN23F_RS03585,,YdbC family protein,687679,687894,+
SPN23F_RS13830,,hypothetical protein,687891,688037,-
SPN23F_RS03595,,biotin transporter BioY,688099,688635,-
SPN23F_RS03600,,hypothetical protein,689061,689399,+
SPN23F_RS03605,,hypothetical protein,689465,691447,+
SPN23F_RS03610,,ATP-binding cassette domain-containing protein,691444,692067,+
SPN23F_RS03615,,hypothetical protein,692064,692564,+
SPN23F_RS03620,gor,glutathione-disulfide reductase,692730,694076,-
SPN23F_RS03625,,efflux RND transporter periplasmic adaptor subunit,694341,695540,+
SPN23F_RS03630,,ABC transporter ATP-binding protein,695524,696225,+
SPN23F_RS03635,,ABC transporter permease,696227,697486,+
SPN23F_RS03640,metG,methionine--tRNA ligase,697610,699607,+
SPN23F_RS13835,,hypothetical protein,699657,699800,+
SPN23F_RS03650,,PadR family transcriptional regulator,699938,700258,+
SPN23F_RS03655,,hypothetical protein,700262,701077,+
SPN23F_RS03660,,aldo/keto reductase,701152,702078,+
SPN23F_RS03665,,DUF2829 domain-containing protein,702174,702410,+
SPN23F_RS03670,,3-oxoacyl-ACP reductase,702403,703101,+
SPN23F_RS03675,,NUDIX hydrolase,703112,703591,+
SPN23F_RS03680,,GNAT family N-acetyltransferase,703599,704327,+
SPN23F_RS03685,,putative PEP-binding protein,704369,705238,+
SPN23F_RS03690,,ASCH domain-containing protein,705213,705653,+
SPN23F_RS03695,,M1 family metallopeptidase,705776,708322,+
SPN23F_RS03700,,ISL3-like element IS1167A family transposase,708380,709636,-
SPN23F_RS03705,ciaR,two-component system response regulator CiaR,709854,710528,+
SPN23F_RS03710,ciaH,two-component system sensor histidine kinase CiaH,710518,711852,+
SPN23F_RS03715,,DUF3270 domain-containing protein,711886,712173,-
SPN23F_RS03720,,peptidase U32 family protein,712313,713242,+
SPN23F_RS03725,,bifunctional DnaQ family exonuclease/ATP-dependent helicase,713442,715892,+
SPN23F_RS03730,,FtsW/RodA/SpoVE family cell cycle protein,715929,717152,+
SPN23F_RS03735,,DJ-1 family glyoxalase III,717163,717717,+
SPN23F_RS03740,,HAD family hydrolase,717802,718365,+
SPN23F_RS03745,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,718380,720326,+
SPN23F_RS03750,ezrA,septation ring formation regulator EzrA,720408,722135,+
SPN23F_RS03755,tnpB,IS66 family insertion sequence element accessory protein TnpB,722864,723187,-
SPN23F_RS03760,,DUF1827 family protein,723448,723747,-
SPN23F_RS03765,,NUDIX hydrolase,723912,724334,-
SPN23F_RS12100,,IS630 family transposase,724445,725292,+
SPN23F_RS03775,,ATP-dependent Clp protease ATP-binding subunit,725499,727757,-
SPN23F_RS03780,,YkuJ family protein,727986,728216,-
SPN23F_RS03785,,amino acid ABC transporter permease,728406,729089,+
SPN23F_RS03790,,amino acid ABC transporter ATP-binding protein,729089,729823,+
SPN23F_RS03795,,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,729977,730834,+
SPN23F_RS03800,,hypothetical protein,730971,731792,+
SPN23F_RS03805,,NAD(P)H-hydrate dehydratase,731806,732645,+
SPN23F_RS03810,rpiA,ribose-5-phosphate isomerase RpiA,732943,733626,+
SPN23F_RS03815,,phosphopentomutase,733640,734851,+
SPN23F_RS03820,,DUF1697 domain-containing protein,734853,735395,+
SPN23F_RS03825,,purine-nucleoside phosphorylase,735411,736220,+
SPN23F_RS03830,,lipase family protein,736696,737091,+
SPN23F_RS03835,,galactose-binding domain-containing protein,737101,737675,+
SPN23F_RS03840,,thiol-activated cytolysin C-terminal domain-containing protein,737700,738212,+
SPN23F_RS03850,deoD,purine-nucleoside phosphorylase,738866,739576,+
SPN23F_RS03855,,DNA topology modulation protein,739599,740123,-
SPN23F_RS03860,rpsT,30S ribosomal protein S20,740176,740412,-
SPN23F_RS03865,coaA,type I pantothenate kinase,740480,741400,-
SPN23F_RS14185,,hypothetical protein,741590,741993,+
SPN23F_RS03875,,class I SAM-dependent methyltransferase,742200,742790,+
SPN23F_RS03880,,pyrimidine-nucleoside phosphorylase,742787,744064,+
SPN23F_RS03885,deoC,deoxyribose-phosphate aldolase,744082,744744,+
SPN23F_RS03890,,cytidine deaminase,744731,745120,+
SPN23F_RS03895,,BMP family lipoprotein,745211,746263,+
SPN23F_RS03900,,ABC transporter ATP-binding protein,746407,747942,+
SPN23F_RS03905,,ABC transporter permease,747935,748993,+
SPN23F_RS03910,,ABC transporter permease,748996,749952,+
SPN23F_RS13500,,IS3 family transposase,750037,751386,+
SPN23F_RS03930,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,751429,752070,-
SPN23F_RS03935,parE,DNA topoisomerase IV subunit B,752206,754149,+
SPN23F_RS14085,,N-6 DNA methylase,754164,754368,+
SPN23F_RS03945,parC,DNA topoisomerase IV subunit A,754569,757040,+
SPN23F_RS03950,,branched-chain amino acid aminotransferase,757172,758194,+
SPN23F_RS03955,,peptide ABC transporter substrate-binding protein,758250,758954,+
SPN23F_RS03960,,DUF969 domain-containing protein,759019,759708,+
SPN23F_RS03965,,DUF979 domain-containing protein,759705,760628,+
SPN23F_RS03970,pcp,pyroglutamyl-peptidase I,760643,761287,+
SPN23F_RS03975,,DUF2969 domain-containing protein,761455,761685,+
SPN23F_RS03990,rpsA,30S ribosomal protein S1,762058,763260,+
SPN23F_RS12120,,transposase,763345,764647,-
SPN23F_RS04010,,GAF domain-containing protein,764840,765337,+
SPN23F_RS04015,dnaX,DNA polymerase III subunit gamma/tau,765337,766992,+
SPN23F_RS04020,,DUF3272 domain-containing protein,767020,767214,+
SPN23F_RS04025,sufC,Fe-S cluster assembly ATPase SufC,767364,768134,+
SPN23F_RS04030,sufD,Fe-S cluster assembly protein SufD,768162,769424,+
SPN23F_RS04035,,cysteine desulfurase,769435,770661,+
